0,55.4723082,10.3260076,22.75,323
1,55.4723013,10.3259657,22.81,327
2,55.4723588,10.3259067,22.91,319
3,55.4723897,10.3259689,24.35,324
4,55.4723877,10.3259683,35.82,322
5,55.4723662,10.3258929,37.27,331
6,55.4727086,10.3255910,39.37,324
7,55.4726732,10.3256254,39.43,328
8,55.4726187,10.3254793,39.37,329
9,55.4726538,10.3255816,47.37,327
10,55.4726401,10.3255982,26.33,327
11,55.4726419,10.3255979,25.59,321
12,55.4726408,10.3256006,20.35,325
13,55.4728729,10.3253078,22.13,320
14,55.4730814,10.3250280,24.04,324
15,55.4728367,10.3253323,24.27,322
16,55.4726208,10.3256024,24.17,324
17,55.4723513,10.3258830,22.73,314
18,55.4723291,10.3259252,21.88,310
19,55.4723157,10.3259631,21.40,313
20,55.4723493,10.3259959,21.27,311
21,55.4723945,10.3259075,21.04,305
