0,55.4723272,10.3260564,22.50,330
1,55.4723350,10.3260379,23.55,329
2,55.4723664,10.3260083,24.45,331
3,55.4723595,10.3259676,29.74,330
4,55.4723597,10.3259682,30.18,327
5,55.4723706,10.3260032,30.94,330
6,55.4723698,10.3260026,33.24,333
7,55.4723725,10.3259958,34.60,35
8,55.4723620,10.3260262,24.85,323
9,55.4723618,10.3260287,25.30,38
10,55.4723632,10.3260280,24.98,318
11,55.4724001,10.3259658,26.95,320
12,55.4723392,10.3260499,26.87,322
13,55.4723383,10.3260495,27.04,323
14,55.4723115,10.3261419,16.53,323
