0,55.4715447,10.3241272,26.18,324
1,55.4716296,10.3240377,26.23,329
2,55.4717253,10.3239391,26.18,328
3,55.4718199,10.3238421,26.20,329
4,55.4718998,10.3237642,26.17,329
5,55.4719114,10.3237815,26.23,41
6,55.4719289,10.3238978,26.22,125
7,55.4718345,10.3239973,26.21,151
8,55.4717417,10.3240905,26.20,151
9,55.4716507,10.3241857,26.18,153
10,55.4715649,10.3242696,26.25,148
11,55.4715705,10.3243030,26.27,81
12,55.4716188,10.3243842,26.24,346
13,55.4717146,10.3242831,26.23,331
14,55.4718076,10.3241876,26.17,330
15,55.4718989,10.3240967,26.16,330
16,55.4719836,10.3240093,26.20,330
17,55.4719967,10.3240291,26.27,49
18,55.4720144,10.3241456,26.12,127
19,55.4719223,10.3242403,26.19,151
20,55.4718247,10.3243395,26.18,151
21,55.4717317,10.3244372,26.23,153
22,55.4716497,10.3245163,26.20,150
23,55.4716540,10.3245536,26.28,82
24,55.4717051,10.3246309,26.19,332
25,55.4717947,10.3245350,26.20,330
26,55.4718887,10.3244407,26.15,331
27,55.4719843,10.3243415,26.17,331
28,55.4720678,10.3242572,26.16,332
29,55.4720799,10.3242753,26.23,46
30,55.4721015,10.3243893,26.12,117
31,55.4720029,10.3244927,26.13,152
32,55.4719091,10.3245870,26.21,151
33,55.4718166,10.3246820,26.20,151
34,55.4717331,10.3247670,26.22,151
35,55.4717189,10.3247471,26.23,218
